username,image_path,disease,tip,file_hash,timestamp
aswini,uploads\aswini17604299651e6c3de3.jpg,Alternaria-pomegranate,Remove infected fruits and prune affected branches. Apply copper-based fungicides regularly to prevent spread.,1e6c3de37b134268f334fd946bcccde8,1760429966
aswini,uploads\aswini1760430013143b1f2b.jpg,Guava-Anthracnose,Remove infected fruits and spray copper-based fungicides. Maintain proper fertilization and irrigation practices.,143b1f2b4d1761f65e95fb8bff75a659,1760430013
aswini,uploads\aswini17604868652982ab9d.jpg,Alternaria-pomegranate,Remove infected fruits and prune affected branches. Apply copper-based fungicides regularly to prevent spread.,2982ab9dd9709131bdebecb10a21deb6,1760486866
aswini,uploads\aswini1760524055abeac65d.jpg,Bacterial-blight-pomegranate,Remove and destroy infected plant parts. Use bactericide sprays and maintain good farm hygiene.,abeac65d220997cda51ea4f78ddfc823,1760524055
aswini,uploads\aswini17684045356eec6d9f.jpg,Bacterial-blight-pomegranate,Remove and destroy infected plant parts. Use bactericide sprays and maintain good farm hygiene.,6eec6d9f371ee4b22d082c4a431e8aa9,1768404536
aswini,uploads\aswini1768404592e4a13249.jpg,Bacterial-blight-pomegranate,Remove and destroy infected plant parts. Use bactericide sprays and maintain good farm hygiene.,e4a1324951ebf9197c535cf7aa1f1e6b,1768404592
aswini,uploads\aswini1768404617ee7a6abd.jpg,Mango-Alternaria,Prune infected branches and spray recommended fungicides. Avoid overhead irrigation to reduce spore spread.,ee7a6abd4bff470d841854792c35dc75,1768404618
aswini,uploads\aswini1768404665a473db27.jpg,Guava-healthy_guava,No disease detected. Maintain regular farm care with proper nutrition and irrigation.,a473db277523a42aaf7900f8650e6034,1768404665
aswini,uploads\aswini176840469751a79a56.jpg,Guava-healthy_guava,No disease detected. Maintain regular farm care with proper nutrition and irrigation.,51a79a56a56771396190387be7130762,1768404697
aswini,uploads\aswini176840502352ea7c68.jpg,Mango-Anthracnose,Apply fungicides regularly and remove infected plant parts. Ensure good air circulation between trees.,52ea7c68feebdc33ca4e25fb577ad79e,1768405023
aswini,uploads\aswini1768405197dd780722.jpg,Healthy-pomegranate,No disease detected. Keep proper fertilization and irrigation schedule.,dd7807229576a2372954d1d00f297ff6,1768405197
aswini,uploads\aswini17729664780739086a.jpg,Alternaria-pomegranate,Remove infected fruits and prune affected branches. Apply copper-based fungicides regularly to prevent spread.,0739086a99ce1803cbf92de60353ec53,1772966478
aswini,uploads\aswini17729665285972e47d.jpg,Alternaria-pomegranate,Remove infected fruits and prune affected branches. Apply copper-based fungicides regularly to prevent spread.,5972e47d555e1b2944132102444648d7,1772966528
aswini,uploads\aswini1772966603498caecd.jpg,Mango-Black Mould Rot,Handle fruits carefully to prevent injury. Dip harvested fruits in fungicide solution before storage.,498caecdbf2978e1bb230e72336f657c,1772966603
aswini,uploads\aswini17729666147390c4e0.jpg,Mango-Black Mould Rot,Handle fruits carefully to prevent injury. Dip harvested fruits in fungicide solution before storage.,7390c4e0130dda622cf650ac2e85ccd7,1772966615
Aswin Anil,uploads\Aswin Anil177476989465ced84a.jpg,Mango-Anthracnose,Apply fungicides regularly and remove infected plant parts. Ensure good air circulation between trees.,65ced84a19f26d8036392ec17d309661,1774769895
Aswin Anil,uploads\Aswin Anil1774769916eb9626c5.jpg,Guava-healthy_guava,No disease detected. Maintain regular farm care with proper nutrition and irrigation.,eb9626c58382e5d7f147d525719a85d8,1774769916
Aswin Anil,uploads\Aswin Anil1774769934c76a4b6d.jpg,Alternaria-pomegranate,Remove infected fruits and prune affected branches. Apply copper-based fungicides regularly to prevent spread.,c76a4b6da73df13d18a98d2d7d52e67b,1774769934
Aswin Anil,uploads\Aswin Anil1774769942abeac65d.jpg,Bacterial-blight-pomegranate,Remove and destroy infected plant parts. Use bactericide sprays and maintain good farm hygiene.,abeac65d220997cda51ea4f78ddfc823,1774769942
